raw_event_name,target_class,source_json_files,notes
male_speech,Male_speech,20260313_120110.json;20260313_121836.json;20260313_123638.json;20260313_130223.json;20260313_173835.json;20260313_175745.json;20260316_162154.json;20260316_162627.json;20260316_172412.json;20260316_173751.json;20260316_191808.json;20260317_122956.json;20260319_112336.json;20260319_114533.json;20260319_120543.json;20260323_162606.json;20260323_165933.json;20260323_220440.json;20260324_141216.json;20260324_144432.json;20260324_150523.json;20260324_153442.json;20260324_160000.json;20260325_145819.json;20260325_151657.json;20260325_154510.json;20260325_161207.json;20260327_173200.json;20260327_192144.json;20260328_130357.json;20260328_132017.json;20260328_141148.json;20260330_162918.json,
man_speech,Male_speech,20260324_141216.json,
medal,Metal_clink,20260328_105616.json,
metal_clink,Metal_clink,20260313_120110.json;20260313_121836.json;20260313_123638.json;20260313_130223.json;20260313_173835.json;20260313_175745.json;20260319_112336.json;20260319_114533.json;20260319_120543.json,
music,Music,20260316_162154.json;20260316_162627.json;20260323_214348.json;20260323_220440.json;20260328_141148.json,
operation,0,20260324_150523.json,
packing,Paper,20260316_162154.json;20260316_162627.json;20260317_133804.json;20260317_145035.json;20260324_144432.json;20260324_150523.json,
paging,Paper,20260330_162918.json,
paper,Paper,20260317_122956.json;20260324_141216.json,
phone,Telephone,20260316_170139.json;20260316_184510.json,
placing,Knock,20260317_133804.json;20260317_145035.json,
plastic,Plastic,20260313_120110.json;20260313_121836.json;20260313_123638.json;20260313_173835.json;20260313_175745.json;20260316_164913.json;20260317_122956.json;20260319_112336.json;20260319_114533.json;20260324_144432.json;20260324_150523.json;20260324_153442.json;20260330_162918.json,
plasticbag,Plastic,20260313_120110.json,
printer,Printer,20260327_181800.json;20260327_192144.json,
printing,Printer,20260330_162918.json,
putting,0,20260330_162918.json,
rangehood,Machine,20260319_112336.json;20260319_114533.json;20260319_120543.json,
ringtone,Telephone,20260328_105616.json,
screen,Male_speech,20260328_141148.json,
shredder,Machine,20260327_181800.json;20260327_192144.json,
speech,Speech,20260316_191808.json;20260317_133804.json;20260317_145035.json;20260323_162606.json;20260323_165933.json;20260323_214348.json;20260323_220440.json;20260324_141216.json;20260324_144432.json;20260324_150523.json;20260324_153442.json;20260328_105616.json,
suitcase,Footsteps,20260316_172412.json;20260323_162606.json;20260323_165933.json;20260325_161207.json,
sweeping,0,20260330_162918.json,
talking,Speech,20260316_162627.json,
tape,Plastic,20260317_133804.json;20260317_145035.json,
tearing,0,20260330_162918.json,
tool,Domestic Sounds,20260327_173200.json;20260327_175000.json;20260327_181800.json;20260327_192144.json,
train,Vehicle,20260323_214348.json;20260323_220440.json,
typing,Typing,20260327_173200.json;20260327_175000.json;20260327_192144.json;20260328_130357.json;20260328_132017.json;20260328_141148.json,
umbrella,0,20260316_191808.json,
unbrella,0,20260324_144432.json,
vehicle,Vehicle,20260316_162627.json;20260316_172412.json;20260316_173751.json;20260316_191808.json;20260323_162606.json;20260323_165933.json;20260324_144432.json;20260324_160000.json;20260325_145819.json;20260325_151657.json;20260325_154510.json;20260325_161207.json;20260328_130357.json;20260328_132017.json;20260330_162918.json,
walking_female_speech,Female_speech,20260316_162154.json,
water_tap_and_faucet,Water,20260313_120110.json;20260313_121836.json;20260313_123638.json;20260313_130223.json;20260313_173835.json;20260313_175745.json;20260319_112336.json;20260319_114533.json;20260319_120543.json;20260327_181800.json;20260327_192144.json,
waterdispenser,Machine,20260327_181800.json;20260327_192144.json,
whistle,Whistle,20260316_172412.json;20260316_173751.json;20260325_151657.json,
wind,Wind,20260328_130357.json,
